"ano","product","idGuest","convidado","total"
2018,"nerdcash",1212139900,"André Ferreira",2
2018,"nerdcash",1212139217,"Kelly Possebon",2
2018,"nerdcash",1212139590,"Pedro Paulo Silveira",2
2018,"nerdcash",1212139407,"Julia Mendonça",1
2018,"nerdcash",1212139741,"Leandro De Checchi",1
2018,"nerdcast",274,"Tucano",18
2018,"nerdcast",1212122464,"Sr.K",12
2018,"nerdcast",2595,"Eduardo Spohr",11
2018,"nerdcast",1212123226,"Rex",11
2018,"nerdcast",1212122862,"Atila",9
2018,"nerdcast",1212127694,"Filipe Figueiredo",9
2018,"nerdcast",2002,"Portuguesa",9
2018,"nerdcast",1212122462,"Carlos Voltor",8
2018,"nerdcast",1212138478,"Leila",7
2018,"nerdcast",1212123564,"Caio Gomes",5
2018,"nerdcast",3515,"JP",5
2018,"nerdcast",1212122669,"Leonel Caldela",5
2018,"nerdcast",4877,"Marco Gomes",5
2018,"nerdcast",1212122799,"Fabio Yabu",4
2018,"nerdcast",1212124836,"Guga Mafra",4
2018,"nerdcast",1212138256,"Lierson Mattenhauer",4
2018,"nerdcast",1212122795,"Affonso Solano",3
2018,"nerdcast",1212123847,"André Souza",3
2018,"nerdcast",2003,"Sra. Jovem Nerd",3
2018,"nerdcast",1212122465,"Afonso 3d",2
2018,"nerdcast",1212138572,"Altay Souza",2
2018,"nerdcast",1212129496,"Ana Arantes",2
2018,"nerdcast",1212138174,"Guilherme Novaes",2
2018,"nerdcast",309,"Nick Ellis",2
2018,"nerdcast",1212138258,"Alessandro Ongaratto",1
2018,"nerdcast",1212138289,"Aline Carvalho",1
2018,"nerdcast",1212139638,"Amanda Louzada",1
2018,"nerdcast",1212139640,"Américo Fazio",1
2018,"nerdcast",1212126483,"Barbara Russell",1
2018,"nerdcast",1212138903,"Bernardo Warman",1
2018,"nerdcast",1212123579,"Bia Kunze",1
2018,"nerdcast",1212140052,"Cesar Gaglioni",1
2018,"nerdcast",1212135982,"Daniel Jezini",1
2018,"nerdcast",1212126308,"David Preti",1
2018,"nerdcast",1212139062,"Douglas de Lima",1
2018,"nerdcast",3448,"Dubox",1
2018,"nerdcast",1212139552,"Emilio Dantas",1
2018,"nerdcast",1212122798,"Francine Gladulich",1
2018,"nerdcast",1212122317,"Gaveta",1
2018,"nerdcast",1212139147,"Giuseppe Janino",1
2018,"nerdcast",1212123574,"Henrique Granado",1
2018,"nerdcast",1212128349,"Irado",1
2018,"nerdcast",1212122846,"Jonny Ken",1
2018,"nerdcast",1212139063,"João Ferreira",1
2018,"nerdcast",1212138901,"Leandro Ibraim",1
2018,"nerdcast",1212133985,"Lucas ""Marduk"" Rampinelli",1
2018,"nerdcast",1212139639,"Luquinhaz",1
2018,"nerdcast",1212125950,"Marcela Versiani",1
2018,"nerdcast",1212137936,"Marcelo Bassoli",1
2018,"nerdcast",1212128722,"Marcos Pontes",1
2018,"nerdcast",1212138681,"Naka Morrison",1
2018,"nerdcast",1212125942,"Pirula",1
2018,"nerdcast",1212139351,"Pri Ganiko",1
2018,"nerdcast",1212138902,"Ricardo Biriba",1
2018,"nerdcast",1212126641,"Sandro Magaldi",1
2018,"nerdcast",1212139148,"Thiago Fini",1
2018,"nerdcast",1212139352,"Toboco",1
2018,"nerdcast",1212139782,"Yasodara Córdova",1
2018,"nerdcast",1212139149,"Zé Cruz",1
2018,"nerdcast",1212145891,"nerdcast 643",1
2018,"nerdlab",1212138289,"Aline Carvalho",1
